id,title,summary,source_url,published_date,last_updated,regulator,domain,document_type,charity_number,charity_name,charity_income_band,risk_level,case_id,case_status,outcome,issues_identified,sanctions_regime,designated_by,fine_amount,keywords,cc_registered_number,cc_suffix,cc_status,cc_latest_income,cc_governing_document,cc_primary_region
CC_case_1100416_20251020,Charity Inquiry: Mountain of Fire and Miracles Ministries International,Charity Commission inquiry into Mountain of Fire and Miracles Ministries International.,https://www.gov.uk/government/publications/charity-inquiry-mountain-of-fire-and-miracles-ministries-international,2025-10-20,2025-10-20,CC,governance,case,1100416,Mountain of Fire and Miracles Ministries International,,,,concluded,,governance,,,,fire|governance|mountain|international|miracles|ministries,1100416,0,,2375285.0,,Throughout England And Wales
CC_case_1142005_20250828,Charity Inquiry: OBAC - (Organisation of Blind Africans and Caribbeans),Charity Commission Inquiry into OBAC - (Organisation of Blind Africans and Caribbeans) - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-obac-organisation-of-blind-africans-and-caribbeans,2025-08-28,2025-08-28,CC,governance,case,1142005,OBAC - (Organisation of Blind Africans and Caribbeans),,,,concluded,charity removed,governance,,,,caribbeans)|blind|africans|obac|charity removed|governance|(organisation,1142005,0,,94992.0,,Throughout London
CC_case_1117893_20250826,Charity Inquiry: Four Paws Animal Rescue (South Wales),Charity Commission Inquiry into Four Paws Animal Rescue (South Wales) - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-four-paws-animal-rescue-south-wales,2025-08-26,2025-08-26,CC,governance,case,1117893,Four Paws Animal Rescue (South Wales),,,,concluded,charity removed,governance,,,,four|(south|charity removed|paws|governance|rescue|wales)|animal,1117893,0,,113984.0,,Throughout England And Wales
CC_case_1127466_20250703,Charity Inquiry: Island Health Trust,Charity Commission inquiry Island Health Trust.,https://www.gov.uk/government/publications/charity-inquiry-island-health-trust,2025-07-03,2025-07-03,CC,governance,case,1127466,Island Health Trust,,,,concluded,,governance,,,,island|governance|health|trust,1127466,0,,361894.0,,Newham
CC_case_None_20250423,"Charity inquiry: Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province","Charity Commission inquiry into Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province",https://www.gov.uk/government/publications/charity-inquiry-education-for-gondar-and-formerly-registered-charities-education-in-sidama-education-for-nyanza-and-education-in-western-province,2025-04-23,2025-04-23,CC,governance,case,,"Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province",,,,concluded,,governance,,,,"gondar,|sidama,|western|education|charities|registered|formerly|governance|province|nyanza",,,,,,
CC_case_1136163_20250228,Charity Inquiry: The Sikh Channel Community Broadcasting Company Limited,Charity Commission inquiry into the Sikh Channel Community Broadcasting Company Limited,https://www.gov.uk/government/publications/charity-inquiry-the-sikh-channel-community-broadcasting-company-limited,2025-02-28,2025-02-28,CC,governance,case,1136163,The Sikh Channel Community Broadcasting Company Limited,,,,concluded,,governance,,,,company|channel|sikh|limited|community|governance|broadcasting,1136163,0,,72.0,,Birmingham City
CC_case_1122974_20250122,Charity Inquiry: Brighton Mosque & Muslim Community Centre,Charity Commission Inquiry into Brighton Mosque & Muslim Community Centre,https://www.gov.uk/government/publications/charity-inquiry-brighton-mosque-muslim-community-centre,2025-01-22,2025-01-22,CC,governance,case,1122974,Brighton Mosque & Muslim Community Centre,,,,concluded,,governance,,,,muslim|brighton|community|centre|governance|mosque,1122974,0,,73903.0,,East Sussex
CC_case_1159575_20241219,Charity Inquiry: Quba Trust,Charity Commission inquiry into Quba Trust,https://www.gov.uk/government/publications/charity-inquiry-quba-trust,2024-12-19,2024-12-19,CC,governance,case,1159575,Quba Trust,,,,concluded,,governance,,,,governance|quba|trust,1159575,0,,0.0,,Throughout England And Wales
CC_case_1164018_20241205,Charity Inquiry: Muffin Pug Rescue,Charity Commission Inquiry into Muffin Pug Rescue.,https://www.gov.uk/government/publications/charity-inquiry-muffin-pug-rescue,2024-12-05,2024-12-05,CC,governance,case,1164018,Muffin Pug Rescue,,,,concluded,,governance,,,,muffin|rescue|governance,1164018,0,,164299.0,,Ireland
CC_case_1189808_20241121,Charity Inquiry: The Captain Tom Foundation,Charity Commission Inquiry into The Captain Tom Foundation.,https://www.gov.uk/government/publications/charity-inquiry-the-captain-tom-foundation,2024-11-21,2024-11-21,CC,governance,case,1189808,The Captain Tom Foundation,,,,concluded,,governance,,,,foundation|governance|captain,1189808,0,,3656.0,,Northern Ireland
CC_case_1143110_20241115,Charity Inquiry: The Knightland Foundation,Charity Commission Inquiry into  The Knightland Foundation.,https://www.gov.uk/government/publications/charity-inquiry-the-knightland-foundation,2024-11-15,2024-11-15,CC,governance,case,1143110,The Knightland Foundation,,,,concluded,,governance,,,,foundation|knightland|governance,1143110,0,,688018.0,,Throughout London
CC_case_1160575_unknown,Charity Inquiry: Mermaids,Charity Commission Inquiry into Mermaids.,https://www.gov.uk/government/publications/charity-inquiry-mermaids,2024-10-24,2024-10-24,CC,governance,case,1160575,Mermaids,,,,concluded,,governance,,,,governance|mermaids,1160575,0,,1337663.0,,Northern Ireland
